,Merek_HP,Ukuran_Layar,Prosesor,GPU,RAM,Memori_Internal,Harga
,OPPO A3,6.67 inch,Snapdragon 6s Gen 1,Adreno 610,8 GB,128 GB,2499000
,realme Note 60,6.74 inch,Tiger T621,Mali-G57,4 GB,64 GB,1250000
,OPPO Reno 12 F 5G,6.67 inch,Snapdragon 685,Adreno 610,8 GB,256 GB,3720000
,realme 13,6.7 inch,Snapdragon 685,Adreno 610,8 GB,128 GB,2775000
,OPPO A3x,6.67 inch,Snapdragon 6s 4G Gen1,Adreno 610,6 GB,128 GB,2039000
,Samsung Galaxy Z Fold6,7.6 inch,Snapdragon 8 Gen 3,Adreno 750,12 GB,1 TB,27200000
,Samsung Galaxy Z Flip6,6.7 inch,Snapdragon 8 Gen 3,Adreno 750,12 GB,512 GB,15800000
,POCO F6,6.67 inch,Snapdragon 8s Gen 3,Adreno 735,8 GB,256 GB,4750000
,Redmi 13,6.79 inch,Helio G91 Ultra,Mali-G52 MC2,8 GB,128 GB,1690000
,vivo V30e,6.78 inch,Snapdragon 6 Gen 1,Adreno 710,8 GB,256 GB,4025000
,Samsung Galaxy A55 5G,6.6 inch,Exynos 1480,Xclipse 530,12 GB,256 GB,6000000
,Samsung Galaxy A35 5G,6.6 inch,Exynos 1380,Mali-G68 MP5,8 GB,256 GB,4265000
,Samsung Galaxy S24,6.2 inch,Exynos 2400,Xclipse 940,8 GB,512 GB,13399000
,realme 12 Pro+ 5G,6.7 inch,Snapdragon 7s Gen2,Adreno 710,12 GB,512 GB,6365000
,vivo Y100 5G,6.67 inch,Snapdragon 4 Gen 2,Adreno 613,8 GB,128 GB,3385000
,Samsung Galaxy A15,6.5 inch,Helio G99,Mali-G57 MC2,8 GB,258 GB,2600000
,POCO C56,6.74 inch,Helio G85,Mali-G52 MC2,6 GB,128 GB,1370000
,vivo V29 5G,6.78 inch,Snapdragon 778G 5G,Adreno 642L,12 GB,512 GB,6999000
,Infinix Note 40,6.78 inch,Mediatek Helio G99 Ultimate,Mali-G57 MC2,8 GB,256 GB,2800000
,Oppo Reno 11 5G,6.7 inch,Mediatek Dimensity 7050,Mali-G68 MC4,12 GB,256 GB,5500000
,iPhone 15 Plus,6.1 inch,A16 Bionic ,Apple GPU,6 GB ,128 GB,15250000
,vivo V40 5G,6.78 inch,Snapdragon 7 Gen 3,Adreno 720,12 GB,256 GB,5950000
,iPhone 14 Pro Max,6.1 inch,A16 Bionic ,Apple GPU ,6 GB,512 GB,20499000
,Infinix Hot 40i,6.56 inch,Unisoc T606,Mali-G57 MP1,8 GB,256 GB,1400000
,OPPO A98 5G,6.72 inch,Snapdragon 695 5G,Adreno 619,8 GB,256 GB,3500000
,OPPO A38,6.56 inch,Helio G85,Mali-G52 MC2,4 GB,128 GB,1655000
,iPhone 13,5.4 inch,A15 Bionic,Apple GPU ,4 GB,256 GB,12000000
,OPPO A18,6.56 inch,Helio G85,	Mali-G52 MC2,4 GB,128 GB,1420000
,Redmi Note 13 Pro+ 5G,6.67 inch,Mediatek Dimensity 7200 Ultra,Mali-G610 MC4,12 GB,512 GB,5999000
,Infinix Note 40 Pro 5G,6.78 inch,Mediatek Dimensity 7020 ,IMG BXM-8-256,8 GB,256 GB,3800000